dataset_id,variable_name,issue_type,count,rate,severity,detail,recommended_action
D1,Do you have chronic diseases?,whitespace_normalization,7,0.0014947683109118087,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D1,<dataset>,exact_duplicate_records_involved,6,0.0012812299807815502,information,Count includes every row participating in an exact duplicate group.,Determine whether duplicates are expected before modeling; do not alter the raw file.
D2,Timestamp,identifier_like_field,513,1.0,high,Configured as a direct or operational identifier-like field.,Exclude or transform before any derived public release; document the decision.
D2,Researcher's number,identifier_like_field,513,1.0,high,Configured as a direct or operational identifier-like field.,Exclude or transform before any derived public release; document the decision.
D2,Do you suffer from any chronic illness?,whitespace_normalization,1,0.001949317738791423,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D2,City,spreadsheet_error_token,4,0.007797270955165692,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,City,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D2,Where do you get these medicines?,spreadsheet_error_token,67,0.13060428849902533,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Have you had difficulty obtaining these medications recently?,spreadsheet_error_token,71,0.13840155945419103,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,"If you have previously used these medications, how much weight (kg) did you lose?",whitespace_normalization,5,0.009746588693957114,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D2,"If you have previously used these medications, how much weight (kg) did you lose?",spreadsheet_error_token,246,0.47953216374269003,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Do you check the source of these medicines when you buy them?,spreadsheet_error_token,74,0.1442495126705653,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Did you consult a doctor before using these medications?,spreadsheet_error_token,77,0.15009746588693956,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Did you regain your weight after stopping using it?,spreadsheet_error_token,88,0.17153996101364521,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Have you experienced any side effects when using these medications?,spreadsheet_error_token,91,0.17738791423001948,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,Do you read the medical information about products used for weight loss?,spreadsheet_error_token,79,0.1539961013645224,warning,The literal token #VALUE! or another spreadsheet-error label appears as data.,Obtain depositor clarification and define a documented missing/invalid-value rule.
D2,"Any comments, suggestions, or weight loss experiences?",missing_values,350,0.682261208576998,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D2,"Any comments, suggestions, or weight loss experiences?",whitespace_normalization,11,0.021442495126705652,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D2,"Any comments, suggestions, or weight loss experiences?",free_text_field,163,0.31773879142300193,high,Unstructured text can contain unanticipated personal or sensitive information.,Do not quote or redistribute; use a separately approved redaction or feature-extraction protocol.
D3,ID,identifier_like_field,348,1.0,high,Configured as a direct or operational identifier-like field.,Exclude or transform before any derived public release; document the decision.
D3,Gender,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,Nationality,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,Education_Level,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,City,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_1,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_2,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_3,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_4,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_5,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_6,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_7,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_8,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
