profile_label,type,satisfiable,num_models,decision,num_flags,num_actions,singleton_bp,below_k5_bp,homogeneous_bp,sensitive,structural_identifier,free_text
s=low_b=low_h=low_sens=False_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,0,1,50,1000,1000,False,False,False
s=low_b=low_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,1,2,50,1000,1000,False,False,True
s=low_b=low_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,1,2,50,1000,1000,False,True,False
s=low_b=low_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,2,3,50,1000,1000,False,True,True
s=low_b=low_h=low_sens=True_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,0,1,50,1000,1000,True,False,False
s=low_b=low_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,1,2,50,1000,1000,True,False,True
s=low_b=low_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,1,2,50,1000,1000,True,True,False
s=low_b=low_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,2,3,50,1000,1000,True,True,True
s=low_b=low_h=high_sens=False_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,0,1,50,1000,5000,False,False,False
s=low_b=low_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,1,2,50,1000,5000,False,False,True
s=low_b=low_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,1,2,50,1000,5000,False,True,False
s=low_b=low_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,2,3,50,1000,5000,False,True,True
s=low_b=low_h=high_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,1,2,50,1000,5000,True,False,False
s=low_b=low_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,2,3,50,1000,5000,True,False,True
s=low_b=low_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,2,3,50,1000,5000,True,True,False
s=low_b=low_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,3,4,50,1000,5000,True,True,True
s=low_b=high_h=low_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,1,1,50,5000,1000,False,False,False
s=low_b=high_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,2,50,5000,1000,False,False,True
s=low_b=high_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,2,50,5000,1000,False,True,False
s=low_b=high_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,3,50,5000,1000,False,True,True
s=low_b=high_h=low_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,1,1,50,5000,1000,True,False,False
s=low_b=high_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,2,2,50,5000,1000,True,False,True
s=low_b=high_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,2,2,50,5000,1000,True,True,False
s=low_b=high_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,3,3,50,5000,1000,True,True,True
s=low_b=high_h=high_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,1,1,50,5000,5000,False,False,False
s=low_b=high_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,2,50,5000,5000,False,False,True
s=low_b=high_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,2,50,5000,5000,False,True,False
s=low_b=high_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,3,50,5000,5000,False,True,True
s=low_b=high_h=high_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,2,2,50,5000,5000,True,False,False
s=low_b=high_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,3,3,50,5000,5000,True,False,True
s=low_b=high_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,3,3,50,5000,5000,True,True,False
s=low_b=high_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,4,4,50,5000,5000,True,True,True
s=medium_b=low_h=low_sens=False_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,1,1,500,1000,1000,False,False,False
s=medium_b=low_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,2,500,1000,1000,False,False,True
s=medium_b=low_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,2,500,1000,1000,False,True,False
s=medium_b=low_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,3,500,1000,1000,False,True,True
s=medium_b=low_h=low_sens=True_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,1,1,500,1000,1000,True,False,False
s=medium_b=low_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,2,2,500,1000,1000,True,False,True
s=medium_b=low_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,2,2,500,1000,1000,True,True,False
s=medium_b=low_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,3,3,500,1000,1000,True,True,True
s=medium_b=low_h=high_sens=False_si=False_ft=False,wellformed,True,1,public_candidate_after_documented_review,1,1,500,1000,5000,False,False,False
s=medium_b=low_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,2,500,1000,5000,False,False,True
s=medium_b=low_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,2,500,1000,5000,False,True,False
s=medium_b=low_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,3,500,1000,5000,False,True,True
s=medium_b=low_h=high_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,2,2,500,1000,5000,True,False,False
s=medium_b=low_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,3,3,500,1000,5000,True,False,True
s=medium_b=low_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,3,3,500,1000,5000,True,True,False
